"","ID1","party_member","coal_id","event_factor","SRI_bi_z","index_5m_bi_z","gmdur_index_z","gm_yn_bi","kinship","period","party_size_fem_z","immdyad","ranksumbi_z"
"1009","WA","ML","2017-10-13_11:43:00","0",0.560799378342869,-0.109098854747678,-0.244844131845214,"N","0","D",-0.524741350549348,"0",0.692824176486983
"1010","WA","NP","2017-10-13_11:43:00","0",0.347863049775391,1.25387520457836,0.217774918018391,"Y","0","D",-0.524741350549348,"0",1.64454724982413
"1011","WA","OM","2017-10-13_11:43:00","0",0.251074294136584,-0.618570832109644,-0.14004027386696,"Y","0","D",-0.524741350549348,"0",1.1405403015769
"1012","WA","OT","2017-10-13_11:43:00","0",0.282279895430203,-0.340101836532088,-0.244844131845214,"N","0","D",-0.524741350549348,"0",0.824641311907505
"1013","WA","UM","2017-10-13_11:43:00","0",0.388870244880795,1.30023540281309,0.000290315629345657,"Y","0","D",-0.524741350549348,"0",0.155736184090523
"1014","OM","FS","2017-10-29_14:06:00","0",0.866451179793489,0.284176644184135,-0.244844131845214,"N","0","D",-1.5140775731115,"1",1.12391633007683
"1015","OM","QT","2017-10-29_14:06:00","0",0.142149720542706,-0.173323207127622,-0.244844131845214,"N","0","D",-1.5140775731115,"0",-0.240951983191355
"1016","OT","FS","2017-10-29_14:06:00","0",0.785482377917165,-0.360653268952509,-0.244844131845214,"N","0","D",-1.5140775731115,"1",0.615498370330236
"1017","OT","QT","2017-10-29_14:06:00","0",0.110616548731277,-0.351882629893039,0.165451822793056,"Y","0","D",-1.5140775731115,"0",-0.556850972860751
"1018","TG","DL","2017-11-03_10:25:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",-0.524741350549348,"1",-1.01201435635299
"1019","TG","FS","2017-11-03_10:25:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",-0.524741350549348,"1",-0.339930051360527
"1020","TG","JU","2017-11-03_10:25:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",-0.524741350549348,"1",-0.982632118331774
"1021","TG","QT","2017-11-03_10:25:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",-0.524741350549348,"0",-1.57446534243256
"1022","TG","UM","2017-11-03_10:25:00","0",0.140240045197678,1.98358257893904,-0.244844131845214,"N","0","D",-0.524741350549348,"0",-1.87472809514244
"1023","TG","WL","2017-11-03_10:25:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",-0.524741350549348,"0",-2.0432785749622
"1024","TG","AL","2017-11-05_12:43:00","0",0.84500522714459,-0.260288858759536,-0.187847353910242,"Y","0","D",1.1241523537209,"0",-1.65099895182603
"1025","TG","DL","2017-11-05_12:43:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",1.1241523537209,"1",-1.01201435635299
"1026","TG","FS","2017-11-05_12:43:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",1.1241523537209,"1",-0.339930051360527
"1027","TG","JU","2017-11-05_12:43:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",1.1241523537209,"1",-0.982632118331774
"1028","TG","NP","2017-11-05_12:43:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",1.1241523537209,"0",-0.385917029408836
"1029","TG","OM","2017-11-05_12:43:00","0",0.623509310593033,0.127484330562218,0.00695882617000287,"Y","0","D",1.1241523537209,"0",-0.889923977656064
"1030","TG","OT","2017-11-05_12:43:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",1.1241523537209,"0",-1.20582296732546
"1031","TG","QT","2017-11-05_12:43:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",1.1241523537209,"0",-1.57446534243256
"1032","TG","UM","2017-11-05_12:43:00","0",0.140240045197678,1.98358257893904,-0.244844131845214,"N","0","D",1.1241523537209,"0",-1.87472809514244
"1033","TG","WA","2017-11-05_12:43:00","0",0.0962456903551116,-0.151251846584121,-0.244844131845214,"N","0","D",1.1241523537209,"0",-0.192973057664307
"1034","TG","WL","2017-11-05_12:43:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",1.1241523537209,"0",-2.0432785749622
"1035","TG","DL","2017-11-21_11:18:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",0.134816131158751,"1",-1.01201435635299
"1036","TG","FS","2017-11-21_11:18:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.339930051360527
"1037","TG","JU","2017-11-21_11:18:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.982632118331774
"1038","TG","ML","2017-11-21_11:18:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",0.134816131158751,"0",-1.33764010274598
"1039","TG","NP","2017-11-21_11:18:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",0.134816131158751,"0",-0.385917029408836
"1040","TG","OT","2017-11-21_11:18:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",0.134816131158751,"0",-1.20582296732546
"1041","TG","QT","2017-11-21_11:18:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.57446534243256
"1042","TG","WL","2017-11-21_11:18:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1043","TG","AL","2017-11-21_8:38:00","0",0.84500522714459,-0.260288858759536,-0.187847353910242,"Y","0","D",0.134816131158751,"0",-1.65099895182603
"1044","TG","DL","2017-11-21_8:38:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",0.134816131158751,"1",-1.01201435635299
"1045","TG","FS","2017-11-21_8:38:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.339930051360527
"1046","TG","JU","2017-11-21_8:38:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.982632118331774
"1047","TG","ML","2017-11-21_8:38:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",0.134816131158751,"0",-1.33764010274598
"1048","TG","OT","2017-11-21_8:38:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",0.134816131158751,"0",-1.20582296732546
"1049","TG","QT","2017-11-21_8:38:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.57446534243256
"1050","TG","WL","2017-11-21_8:38:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1051","TG","DL","2017-11-21_8:40:00","0",0.316292916833272,-0.33073407280609,1.11238119610777,"Y","0","D",0.134816131158751,"1",-1.01201435635299
"1052","TG","FS","2017-11-21_8:40:00","0",0.881825817734806,-0.535398718909135,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.339930051360527
"1053","TG","JU","2017-11-21_8:40:00","0",-0.139782243702947,-0.978983322645183,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.982632118331774
"1054","TG","ML","2017-11-21_8:40:00","0",1.00313444386229,1.14555346366957,0.211144583568943,"Y","0","D",0.134816131158751,"0",-1.33764010274598
"1055","TG","NP","2017-11-21_8:40:00","0",0.81665800150807,1.28123946064078,-0.063052378194755,"Y","0","D",0.134816131158751,"0",-0.385917029408836
